shortcode;id;text;created_at
CSZUfvmtBxG;18123211039217434;Nice 💚🥰;1628603353
CSZUfvmtBxG;18169237162148501;Nice 💚🥰;1628603381
CSZUfvmtBxG;17926902724690751;🙌 We love to see trailblazers on covers!;1628603450
CSZUfvmtBxG;17906186096034901;Lovely and in connection to her movement the horse could be free ☺️;1628603506
CSZUfvmtBxG;18102250474248330;Great cover!;1628603519
CSZUfvmtBxG;17908488076898418;👁🏁;1628603826
CSZUfvmtBxG;17979193048401977;👁🌎🗝;1628603834
CSZUfvmtBxG;17974023808413897;👁🏁;1628603844
CSZUfvmtBxG;17925432241669584;👁🌎🗝;1628603845
CSZUfvmtBxG;18024623899308536;👁🏁;1628603861
CSZUfvmtBxG;17906438558062234;While VOGUE keeps making a lot of money. And printing trash. 😢;1628603945
CSZUfvmtBxG;17865167807580829;@just._freddie lol k;1628603991
CSZUfvmtBxG;17873272322492843;♥️♥️♥️♥️♥️♥️♥️;1628604402
CSZUfvmtBxG;18243232249019026;❤️❤️❤️❤️❤️❤️;1628604621
CSZUfvmtBxG;18245890468008861;👏👏👏;1628606140
CSZUfvmtBxG;17913850570915147;My hero;1628607260
CSZUfvmtBxG;17945074858500903;My hero;1628607272
CSZUfvmtBxG;18245154595018753;👏👏👏;1628608329
CSZUfvmtBxG;17963219293449430;We need more gretas👏👏❤️need one in every corner of every country on this planet bec the adults ain't doing shitttt😢;1628608439
CSZUfvmtBxG;17906822983955902;🤔;1628608587
CSZUfvmtBxG;17883996521502388;ya ok, tell vogue to stop printing fucking paper, maybe thats a start mfs.;1628608646
CSZUfvmtBxG;18138867034200152;We need more gretas👏👏❤️need one in every corner of every country on this planet bec the adults ain't doing shitttt😢;1628609168
CSZUfvmtBxG;17909577622988066;she’s amazing;1628610214
CSZUfvmtBxG;17865997517567680;@just._freddie they’re not listening well enough apparently;1628610713
CSZUfvmtBxG;17885046125497742;So tone deaf;1628612905
CSZUfvmtBxG;17916196954881346;Great gib nicht auf . 😍;1628613119
CSZUfvmtBxG;18057622336294272;Love it!❤️❤️❤️❤️;1628613299
CSZUfvmtBxG;17946678391489940;🙌🙌🙌;1628613611
CSZUfvmtBxG;17909402251989855;❤️❤️❤️❤️❤️❤️❤️;1628613762
CSZUfvmtBxG;17886376733462949;This is a brave and smart girl👏👏👏;1628615999
CSZUfvmtBxG;17906209814034839;Beautiful shot of a beautiful brave soul. Thank you Greta for everything you do ❤️;1628622979
CQoSzVNraaH;17910672769823137;After years of unspeakable crimes they do one great thing so let’s celebrate them! Great job humanity👍🏼;1624881818
CQoSzVNraaH;17923884103717633;@williamjordann No, being an idiot man who keeps manplaining is sexist.  Just go away troll.  Oh wait! There is a way to teach you proper boundaries, and manners. The boundaries button.  Bye.......;1624884485
CQoSzVNraaH;17934063433562682;About time;1624884505
CQoSzVNraaH;17908578853925132;I genuinely thought it was talking about an actual goose at first;1624888335
CQoSzVNraaH;17896119212146825;Everything is sustainable when you DIY instead of relying on corporations &  factories ☮️;1624888594
CQoSzVNraaH;17920413328694982;Everything is sustainable when you DIY instead of relying on corporations &  factories ☮️;1624888610
CQoSzVNraaH;17940888553524411;@officialglitchmag;1624890288
CQoSzVNraaH;17913522424749313;Running out of coyotes? What does no coyote fur have to do with sustainability?;1624890385
CQoSzVNraaH;17855970896590990;Finally;1624890756
CQoSzVNraaH;18132467851203818;Finally;1624890769
CQoSzVNraaH;17895011153175343;@ni.cole7533;1624895676
CQoSzVNraaH;17897270084037267;Eco-terrorists strike again...;1624897722
